,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
337,Ship2,6959459.607511851,41296.176544704074,84,6.426,161,161,,2,
338,Ship3,6959232.665534318,40508.4954831961,84,9.843,275,275,,3,
339,Ship4,6960450.55938807,42403.55966121401,84,7.497,45,45,,1,
340,Ship1,6959709.859814321,41223.57829715597,85,10.149,229,229,,18,
341,Ship2,6959453.515040342,41298.21989169134,85,6.426,161,161,,2,
342,Ship3,6959233.523552847,40498.68995143062,85,9.843,275,275,,3,
343,Ship4,6960455.790860844,42408.92964274242,85,7.497,45,45,,1,
344,Ship1,6959703.2631706195,41215.865548431706,86,10.149,229,229,,18,
345,Ship2,6959447.420591744,41300.25733427531,86,6.426,161,161,,2,
346,Ship3,6959234.381557148,40488.88441842012,86,9.843,276,276,,3,
347,Ship4,6960461.011633915,42414.31002725816,86,7.497,45,45,,1,
348,Ship1,6959696.712411168,41208.11379046254,87,10.149,230,230,,18,
349,Ship2,6959441.324298197,41302.28924987237,87,6.426,161,161,,2,
350,Ship3,6959235.454589451,40479.100081412565,87,9.843,276,276,,3,
351,Ship4,6960466.222489295,42419.70001753772,87,7.497,46,46,,1,
352,Ship1,6959690.207766643,41200.32329621634,88,10.149,230,230,,18,
353,Ship2,6959435.226282725,41304.31599191393,88,6.426,161,161,,2,
354,Ship3,6959236.544528315,40469.31761330516,88,9.843,276,276,,3,
355,Ship4,6960471.424153405,42425.09887848018,88,7.497,46,46,,1,
356,Ship1,6959683.749466096,41192.49434002498,89,10.149,230,230,,18,
357,Ship2,6959429.126659895,41306.337891351024,89,6.426,161,161,,2,
358,Ship3,6959237.649708332,40459.53685535236,89,9.843,276,276,,3,
359,Ship4,6960476.617300786,42430.5059321405,89,7.497,46,46,,1,
360,Ship1,6959677.337736948,41184.62719757476,90,10.149,231,231,,18,
361,Ship2,6959423.025536431,41308.355258067306,90,6.426,161,161,,2,
362,Ship3,6959238.768628108,40449.75765970376,90,9.843,276,276,,3,
363,Ship4,6960481.802557585,42435.92055317344,90,7.497,46,46,,1,
364,Ship1,6959670.972804979,41176.72214589662,91,10.149,231,231,,18,
365,Ship2,6959416.923011773,41310.36838220574,91,6.426,161,161,,2,
366,Ship3,6959239.899934149,40439.9798892196,91,9.843,276,276,,3,
367,Ship4,6960486.980504858,42441.3421646529,91,7.497,46,46,,1,
368,Ship1,6959664.654894323,41168.77946335647,92,10.149,231,231,,18,
369,Ship2,6959410.819178602,41312.377535413834,92,6.426,161,161,,2,
